"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,317","±89","1,317","±89","196","±65","196","±65","1,121","±103","1,121","±103","2,242","±156","2,242","±156","767","±152","767","±152","1,475","±183","1,475","±183"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","301","±72","22.9%","±5.2","68","±41","34.7%","±19.1","233","±72","20.8%","±6.0","1,211","±179","54.0%","±7.4","584","±136","76.1%","±10.4","627","±152","42.5%","±9.3"
"            Black or African American","953","±93","72.4%","±5.2","117","±57","59.7%","±19.2","836","±99","74.6%","±6.1","776","±166","34.6%","±6.8","130","±78","16.9%","±9.3","646","±165","43.8%","±10.0"
"            American Indian and Alaska Native","0","±12","0.0%","±2.6","0","±12","0.0%","±16.3","0","±12","0.0%","±3.1","0","±12","0.0%","±1.5","0","±12","0.0%","±4.5","0","±12","0.0%","±2.3"
"            Asian","11","±15","0.8%","±1.1","11","±15","5.6%","±7.1","0","±12","0.0%","±3.1","76","±44","3.4%","±2.0","23","±25","3.0%","±3.3","53","±39","3.6%","±2.6"
"            Native Hawaiian and Other Pacific Islander","0","±12","0.0%","±2.6","0","±12","0.0%","±16.3","0","±12","0.0%","±3.1","28","±33","1.2%","±1.5","8","±14","1.0%","±1.9","20","±31","1.4%","±2.1"
"            Some other race","10","±15","0.8%","±1.2","0","±12","0.0%","±16.3","10","±15","0.9%","±1.4","37","±42","1.7%","±1.9","22","±35","2.9%","±4.4","15","±23","1.0%","±1.5"
"        Two or more races","42","±40","3.2%","±3.0","0","±12","0.0%","±16.3","42","±40","3.7%","±3.6","114","±100","5.1%","±4.4","0","±12","0.0%","±4.5","114","±100","7.7%","±6.6"
"        Hispanic or Latino origin","46","±35","3.5%","±2.6","13","±20","6.6%","±9.9","33","±30","2.9%","±2.6","207","±97","9.2%","±4.3","107","±78","14.0%","±9.5","100","±69","6.8%","±4.8"
