"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","2,461","957","38.9%","2,297","119","5.2%","1,687","102","6.0%","3,927","789","20.1%","2,345","112","4.8%","1,712","119","7.0%"
"    AGE","","","","","","","","","","","","","","","","","",""
"        Under 18 years","562","338","60.1%","139","0","0.0%","250","0","0.0%","374","36","9.6%","35","0","0.0%","0","0","-"
"            Under 5 years","201","104","51.7%","0","0","-","188","0","0.0%","284","9","3.2%","16","0","0.0%","0","0","-"
"            5 to 17 years","361","234","64.8%","139","0","0.0%","62","0","0.0%","90","27","30.0%","19","0","0.0%","0","0","-"
"            Related children of householder under 18 years","562","338","60.1%","139","0","0.0%","250","0","0.0%","374","36","9.6%","35","0","0.0%","0","0","-"
"        18 to 64 years","1,588","505","31.8%","1,858","102","5.5%","1,020","91","8.9%","3,261","676","20.7%","1,958","91","4.6%","1,153","80","6.9%"
"            18 to 34 years","776","190","24.5%","1,035","84","8.1%","549","67","12.2%","1,504","441","29.3%","937","0","0.0%","311","15","4.8%"
"            35 to 64 years","812","315","38.8%","823","18","2.2%","471","24","5.1%","1,757","235","13.4%","1,021","91","8.9%","842","65","7.7%"
"        60 years and over","431","141","32.7%","403","35","8.7%","497","11","2.2%","425","103","24.2%","543","37","6.8%","677","39","5.8%"
"        65 years and over","311","114","36.7%","300","17","5.7%","417","11","2.6%","292","77","26.4%","352","21","6.0%","559","39","7.0%"
"    SEX","","","","","","","","","","","","","","","","","",""
"        Male","1,205","385","32.0%","1,260","63","5.0%","618","22","3.6%","2,015","409","20.3%","1,035","73","7.1%","667","0","0.0%"
"        Female","1,256","572","45.5%","1,037","56","5.4%","1,069","80","7.5%","1,912","380","19.9%","1,310","39","3.0%","1,045","119","11.4%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","",""
"        White alone","494","52","10.5%","1,352","28","2.1%","1,004","67","6.7%","2,283","50","2.2%","1,445","0","0.0%","1,216","119","9.8%"
"        Black or African American alone","1,863","895","48.0%","463","56","12.1%","523","27","5.2%","1,164","639","54.9%","764","94","12.3%","339","0","0.0%"
"        American Indian and Alaska Native alone","0","0","-","21","0","0.0%","42","0","0.0%","0","0","-","0","0","-","0","0","-"
"        Asian alone","44","0","0.0%","179","35","19.6%","68","8","11.8%","139","0","0.0%","29","0","0.0%","29","0","0.0%"
"        Native Hawaiian and Other Pacific Islander alone","0","0","-","0","0","-","0","0","-","8","0","0.0%","0","0","-","0","0","-"
"        Some other race alone","10","10","100.0%","38","0","0.0%","13","0","0.0%","62","0","0.0%","0","0","-","31","0","0.0%"
"        Two or more races","50","0","0.0%","244","0","0.0%","37","0","0.0%","271","100","36.9%","107","18","16.8%","97","0","0.0%"
"        Hispanic or Latino origin (of any race)","37","28","75.7%","319","0","0.0%","81","41","50.6%","342","0","0.0%","348","0","0.0%","78","0","0.0%"
"        White alone, not Hispanic or Latino","467","34","7.3%","1,233","28","2.3%","936","26","2.8%","2,143","50","2.3%","1,097","0","0.0%","1,169","119","10.2%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","1,790","593","33.1%","1,976","107","5.4%","1,330","76","5.7%","3,351","618","18.4%","2,281","112","4.9%","1,688","119","7.0%"
"            Less than high school graduate","464","306","65.9%","17","0","0.0%","35","25","71.4%","298","213","71.5%","132","21","15.9%","19","19","100.0%"
"            High school graduate (includes equivalency)","419","159","37.9%","10","0","0.0%","41","10","24.4%","198","124","62.6%","264","16","6.1%","146","0","0.0%"
"            Some college, associate's degree","221","84","38.0%","276","17","6.2%","241","0","0.0%","377","132","35.0%","191","18","9.4%","229","80","34.9%"
"            Bachelor's degree or higher","686","44","6.4%","1,673","90","5.4%","1,013","41","4.0%","2,478","149","6.0%","1,694","57","3.4%","1,294","20","1.5%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,146","221","19.3%","1,750","30","1.7%","1,063","33","3.1%","2,841","258","9.1%","1,811","0","0.0%","1,190","80","6.7%"
"            Employed","1,027","187","18.2%","1,668","30","1.8%","1,063","33","3.1%","2,801","244","8.7%","1,801","0","0.0%","1,060","15","1.4%"
"                Male","522","93","17.8%","865","0","0.0%","416","0","0.0%","1,447","140","9.7%","829","0","0.0%","461","0","0.0%"
"                Female","505","94","18.6%","803","30","3.7%","647","33","5.1%","1,354","104","7.7%","972","0","0.0%","599","15","2.5%"
"            Unemployed","119","34","28.6%","82","0","0.0%","0","0","-","40","14","35.0%","10","0","0.0%","130","65","50.0%"
"                Male","45","10","22.2%","60","0","0.0%","0","0","-","13","0","0.0%","0","0","-","15","0","0.0%"
"                Female","74","24","32.4%","22","0","0.0%","0","0","-","27","14","51.9%","10","0","0.0%","115","65","56.5%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","1,943","650","33.5%","2,158","119","5.5%","1,445","102","7.1%","3,577","761","21.3%","2,310","112","4.8%","1,712","119","7.0%"
"            Worked full-time, year-round in the past 12 months","798","65","8.1%","1,354","0","0.0%","835","0","0.0%","2,278","104","4.6%","1,570","0","0.0%","733","15","2.0%"
"            Worked part-time or part-year in the past 12 months","342","168","49.1%","399","34","8.5%","266","45","16.9%","565","140","24.8%","294","0","0.0%","475","65","13.7%"
"            Did not work","803","417","51.9%","405","85","21.0%","344","57","16.6%","734","517","70.4%","446","112","25.1%","504","39","7.7%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","438","(X)","(X)","67","(X)","(X)","55","(X)","(X)","154","(X)","(X)","94","(X)","(X)","119","(X)","(X)"
"        125 percent of poverty level","1,153","(X)","(X)","201","(X)","(X)","336","(X)","(X)","840","(X)","(X)","130","(X)","(X)","137","(X)","(X)"
"        150 percent of poverty level","1,202","(X)","(X)","201","(X)","(X)","356","(X)","(X)","852","(X)","(X)","130","(X)","(X)","153","(X)","(X)"
"        185 percent of poverty level","1,404","(X)","(X)","248","(X)","(X)","421","(X)","(X)","882","(X)","(X)","216","(X)","(X)","153","(X)","(X)"
"        200 percent of poverty level","1,456","(X)","(X)","283","(X)","(X)","435","(X)","(X)","882","(X)","(X)","233","(X)","(X)","169","(X)","(X)"
"        300 percent of poverty level","1,647","(X)","(X)","461","(X)","(X)","504","(X)","(X)","1,058","(X)","(X)","367","(X)","(X)","304","(X)","(X)"
"        400 percent of poverty level","1,739","(X)","(X)","679","(X)","(X)","592","(X)","(X)","1,368","(X)","(X)","595","(X)","(X)","319","(X)","(X)"
"        500 percent of poverty level","1,902","(X)","(X)","881","(X)","(X)","666","(X)","(X)","1,545","(X)","(X)","797","(X)","(X)","497","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","874","255","29.2%","1,660","104","6.3%","956","77","8.1%","2,005","373","18.6%","1,249","112","9.0%","1,022","119","11.6%"
"    Male","435","91","20.9%","906","53","5.8%","339","22","6.5%","1,132","230","20.3%","549","73","13.3%","303","0","0.0%"
"    Female","439","164","37.4%","754","51","6.8%","617","55","8.9%","873","143","16.4%","700","39","5.6%","719","119","16.6%"
"    15 years","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"    16 to 17 years","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"    18 to 24 years","19","8","42.1%","177","7","4.0%","100","26","26.0%","60","15","25.0%","0","0","-","0","0","-"
"    25 to 34 years","373","40","10.7%","664","62","9.3%","295","41","13.9%","776","123","15.9%","567","0","0.0%","216","15","6.9%"
"    35 to 44 years","112","51","45.5%","380","0","0.0%","125","8","6.4%","375","17","4.5%","101","0","0.0%","187","65","34.8%"
"    45 to 54 years","86","0","0.0%","76","0","0.0%","38","0","0.0%","322","64","19.9%","57","0","0.0%","212","0","0.0%"
"    55 to 64 years","108","59","54.6%","95","18","18.9%","110","0","0.0%","241","77","32.0%","266","91","34.2%","76","0","0.0%"
"    65 to 74 years","89","47","52.8%","65","17","26.2%","145","2","1.4%","159","30","18.9%","82","0","0.0%","147","0","0.0%"
"    75 years and over","87","50","57.5%","203","0","0.0%","143","0","0.0%","72","47","65.3%","176","21","11.9%","184","39","21.2%"
"    Mean income deficit for unrelated individuals (dollars)","4,515","(X)","(X)","7,281","(X)","(X)","N","(X)","(X)","4,785","(X)","(X)","N","(X)","(X)","10,259","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","523","18","3.4%","967","0","0.0%","531","0","0.0%","1,277","66","5.2%","903","0","0.0%","434","15","3.5%"
"    Worked less than full-time, year-round in the past 12 months","135","92","68.1%","381","34","8.9%","190","45","23.7%","420","72","17.1%","62","0","0.0%","321","65","20.2%"
"    Did not work","216","145","67.1%","312","70","22.4%","235","32","13.6%","308","235","76.3%","284","112","39.4%","267","39","14.6%"
