"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","2,834","1,007","35.5%","3,921","1,049","26.8%"
"    AGE","","","","","",""
"        Under 18 years","532","311","58.5%","399","163","40.9%"
"            Under 5 years","194","64","33.0%","199","39","19.6%"
"            5 to 17 years","338","247","73.1%","200","124","62.0%"
"            Related children of householder under 18 years","532","311","58.5%","399","163","40.9%"
"        18 to 64 years","1,925","577","30.0%","3,182","797","25.0%"
"            18 to 34 years","1,007","237","23.5%","1,500","494","32.9%"
"            35 to 64 years","918","340","37.0%","1,682","303","18.0%"
"        60 years and over","497","137","27.6%","488","145","29.7%"
"        65 years and over","377","119","31.6%","340","89","26.2%"
"    SEX","","","","","",""
"        Male","1,360","368","27.1%","2,051","483","23.5%"
"        Female","1,474","639","43.4%","1,870","566","30.3%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","582","51","8.8%","1,872","64","3.4%"
"        Black or African American alone","2,173","946","43.5%","1,547","869","56.2%"
"        American Indian and Alaska Native alone","0","0","-","0","0","-"
"        Asian alone","22","0","0.0%","174","0","0.0%"
"        Native Hawaiian and Other Pacific Islander alone","0","0","-","28","0","0.0%"
"        Some other race alone","10","10","100.0%","90","0","0.0%"
"        Two or more races","47","0","0.0%","210","116","55.2%"
"        Hispanic or Latino origin (of any race)","55","26","47.3%","289","0","0.0%"
"        White alone, not Hispanic or Latino","550","35","6.4%","1,753","64","3.7%"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","2,048","652","31.8%","3,269","711","21.7%"
"            Less than high school graduate","482","294","61.0%","341","223","65.4%"
"            High school graduate (includes equivalency)","478","178","37.2%","260","118","45.4%"
"            Some college, associate's degree","330","141","42.7%","410","152","37.1%"
"            Bachelor's degree or higher","758","39","5.1%","2,258","218","9.7%"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","1,349","243","18.0%","2,599","303","11.7%"
"            Employed","1,159","137","11.8%","2,494","287","11.5%"
"                Male","587","46","7.8%","1,313","160","12.2%"
"                Female","572","91","15.9%","1,181","127","10.8%"
"            Unemployed","190","106","55.8%","105","16","15.2%"
"                Male","114","56","49.1%","54","0","0.0%"
"                Female","76","50","65.8%","51","16","31.4%"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","2,346","724","30.9%","3,577","924","25.8%"
"            Worked full-time, year-round in the past 12 months","832","25","3.0%","2,083","122","5.9%"
"            Worked part-time or part-year in the past 12 months","399","157","39.3%","524","165","31.5%"
"            Did not work","1,115","542","48.6%","970","637","65.7%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","539","(X)","(X)","209","(X)","(X)"
"        125 percent of poverty level","1,281","(X)","(X)","1,110","(X)","(X)"
"        150 percent of poverty level","1,303","(X)","(X)","1,124","(X)","(X)"
"        185 percent of poverty level","1,406","(X)","(X)","1,170","(X)","(X)"
"        200 percent of poverty level","1,491","(X)","(X)","1,170","(X)","(X)"
"        300 percent of poverty level","1,863","(X)","(X)","1,435","(X)","(X)"
"        400 percent of poverty level","2,088","(X)","(X)","1,828","(X)","(X)"
"        500 percent of poverty level","2,224","(X)","(X)","2,083","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","959","238","24.8%","2,092","452","21.6%"
"    Male","513","74","14.4%","1,237","296","23.9%"
"    Female","446","164","36.8%","855","156","18.2%"
"    15 years","0","0","-","0","0","-"
"    16 to 17 years","0","0","-","0","0","-"
"    18 to 24 years","48","12","25.0%","75","21","28.0%"
"    25 to 34 years","437","36","8.2%","745","146","19.6%"
"    35 to 44 years","142","54","38.0%","454","18","4.0%"
"    45 to 54 years","45","0","0.0%","269","73","27.1%"
"    55 to 64 years","86","33","38.4%","292","105","36.0%"
"    65 to 74 years","110","56","50.9%","139","34","24.5%"
"    75 years and over","91","47","51.6%","118","55","46.6%"
"    Mean income deficit for unrelated individuals (dollars)","5,533","(X)","(X)","5,020","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","546","16","2.9%","1,373","64","4.7%"
"    Worked less than full-time, year-round in the past 12 months","188","86","45.7%","300","103","34.3%"
"    Did not work","225","136","60.4%","419","285","68.0%"
