"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","1,986","933","47.0%","3,427","326","9.5%"
"AGE","","","","","",""
"    Under 18 years","461","257","55.7%","146","11","7.5%"
"        Related children under 18 years","461","257","55.7%","146","11","7.5%"
"    18 to 64 years","1,331","614","46.1%","2,919","308","10.6%"
"    65 years and over","194","62","32.0%","362","7","1.9%"
"SEX","","","","","",""
"    Male","873","444","50.9%","1,621","72","4.4%"
"    Female","1,113","489","43.9%","1,806","254","14.1%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","1,986","933","47.0%","3,355","326","9.7%"
"        White","103","0","0.0%","1,632","40","2.5%"
"        Black or African American","1,804","898","49.8%","1,415","286","20.2%"
"        American Indian and Alaska Native","10","10","100.0%","35","0","0.0%"
"        Asian","54","25","46.3%","224","0","0.0%"
"        Native Hawaiian and Other Pacific Islander","0","0","-","0","0","-"
"        Some other race","15","0","0.0%","49","0","0.0%"
"    Two or more races","0","0","-","72","0","0.0%"
"Hispanic or Latino origin (of any race)","59","0","0.0%","193","14","7.3%"
"White alone, not Hispanic or Latino","81","0","0.0%","1,571","40","2.5%"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","1,282","557","43.4%","2,909","259","8.9%"
"        Less than high school graduate","330","150","45.5%","176","134","76.1%"
"        High school graduate (includes equivalency)","390","218","55.9%","355","90","25.4%"
"        Some college, associate's degree","313","122","39.0%","318","0","0.0%"
"        Bachelor's degree or higher","249","67","26.9%","2,060","35","1.7%"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","715","197","27.6%","2,657","96","3.6%"
"        Employed","581","103","17.7%","2,449","21","0.9%"
"            Male","219","12","5.5%","1,238","0","0.0%"
"            Female","362","91","25.1%","1,211","21","1.7%"
"        Unemployed","134","94","70.1%","208","75","36.1%"
"            Male","61","61","100.0%","81","30","37.0%"
"            Female","73","33","45.2%","127","45","35.4%"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","1,558","709","45.5%","3,300","323","9.8%"
"        Worked full-time, year-round in the past 12 months","481","6","1.2%","2,039","0","0.0%"
"        Worked part-time or part-year in the past 12 months","278","161","57.9%","535","43","8.0%"
"        Did not work","799","542","67.8%","726","280","38.6%"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","269","(X)","(X)","231","(X)","(X)"
"    125 percent of poverty level","977","(X)","(X)","392","(X)","(X)"
"    150 percent of poverty level","1,373","(X)","(X)","539","(X)","(X)"
"    185 percent of poverty level","1,436","(X)","(X)","579","(X)","(X)"
"    200 percent of poverty level","1,564","(X)","(X)","624","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","531","253","47.6%","2,026","275","13.6%"
"    Male","267","160","59.9%","931","66","7.1%"
"    Female","264","93","35.2%","1,095","209","19.1%"
"Mean income deficit for unrelated individuals (dollars)","6,570","(X)","(X)","8,809","(X)","(X)"
"Worked full-time, year-round in the past 12 months","206","0","0.0%","1,356","0","0.0%"
"Worked less than full-time, year-round in the past 12 months","48","40","83.3%","249","43","17.3%"
"Did not work","277","213","76.9%","421","232","55.1%"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","46.3%","(X)","(X)","23.3%","(X)","(X)"
