"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","2,130","943","44.3%","3,418","416","12.2%"
"AGE","","","","","",""
"    Under 18 years","367","218","59.4%","139","21","15.1%"
"        Under 5 years","52","32","61.5%","54","4","7.4%"
"        5 to 17 years","315","186","59.0%","85","17","20.0%"
"        Related children of householder under 18 years","367","218","59.4%","139","21","15.1%"
"    18 to 64 years","1,498","638","42.6%","2,915","380","13.0%"
"        18 to 34 years","759","332","43.7%","1,394","189","13.6%"
"        35 to 64 years","739","306","41.4%","1,521","191","12.6%"
"    60 years and over","421","151","35.9%","537","63","11.7%"
"    65 years and over","265","87","32.8%","364","15","4.1%"
"SEX","","","","","",""
"    Male","826","361","43.7%","1,649","93","5.6%"
"    Female","1,304","582","44.6%","1,769","323","18.3%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    White alone","209","0","0.0%","1,496","53","3.5%"
"    Black or African American alone","1,849","911","49.3%","1,552","363","23.4%"
"    American Indian and Alaska Native alone","7","7","100.0%","22","0","0.0%"
"    Asian alone","53","25","47.2%","188","0","0.0%"
"    Native Hawaiian and Other Pacific Islander alone","0","0","-","23","0","0.0%"
"    Some other race alone","12","0","0.0%","50","0","0.0%"
"    Two or more races","0","0","-","87","0","0.0%"
"Hispanic or Latino origin (of any race)","86","0","0.0%","169","0","0.0%"
"White alone, not Hispanic or Latino","178","0","0.0%","1,456","53","3.6%"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","1,469","610","41.5%","2,918","291","10.0%"
"        Less than high school graduate","367","205","55.9%","211","162","76.8%"
"        High school graduate (includes equivalency)","425","220","51.8%","291","49","16.8%"
"        Some college, associate's degree","369","147","39.8%","365","0","0.0%"
"        Bachelor's degree or higher","308","38","12.3%","2,051","80","3.9%"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","829","224","27.0%","2,542","118","4.6%"
"        Employed","672","75","11.2%","2,306","43","1.9%"
"            Male","307","13","4.2%","1,207","18","1.5%"
"            Female","365","62","17.0%","1,099","25","2.3%"
"        Unemployed","157","149","94.9%","236","75","31.8%"
"            Male","101","101","100.0%","95","28","29.5%"
"            Female","56","48","85.7%","141","47","33.3%"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","1,802","753","41.8%","3,302","412","12.5%"
"        Worked full-time, year-round in the past 12 months","531","7","1.3%","1,904","0","0.0%"
"        Worked part-time or part-year in the past 12 months","250","129","51.6%","556","61","11.0%"
"        Did not work","1,021","617","60.4%","842","351","41.7%"
"ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"    50 percent of poverty level","328","(X)","(X)","317","(X)","(X)"
"    125 percent of poverty level","1,112","(X)","(X)","513","(X)","(X)"
"    150 percent of poverty level","1,362","(X)","(X)","571","(X)","(X)"
"    185 percent of poverty level","1,446","(X)","(X)","613","(X)","(X)"
"    200 percent of poverty level","1,464","(X)","(X)","676","(X)","(X)"
"    300 percent of poverty level","1,676","(X)","(X)","1,102","(X)","(X)"
"    400 percent of poverty level","1,776","(X)","(X)","1,405","(X)","(X)"
"    500 percent of poverty level","1,870","(X)","(X)","1,757","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","596","232","38.9%","2,011","278","13.8%"
"    Male","276","115","41.7%","993","86","8.7%"
"    Female","320","117","36.6%","1,018","192","18.9%"
"15 years","0","0","-","0","0","-"
"16 to 17 years","0","0","-","0","0","-"
"18 to 24 years","23","5","21.7%","240","53","22.1%"
"25 to 34 years","80","8","10.0%","670","85","12.7%"
"35 to 44 years","83","0","0.0%","411","17","4.1%"
"45 to 54 years","128","87","68.0%","147","47","32.0%"
"55 to 64 years","150","62","41.3%","314","76","24.2%"
"65 to 74 years","48","28","58.3%","128","0","0.0%"
"75 years and over","84","42","50.0%","101","0","0.0%"
"Mean income deficit for unrelated individuals (dollars)","6,778","(X)","(X)","9,043","(X)","(X)"
"Worked full-time, year-round in the past 12 months","238","0","0.0%","1,309","0","0.0%"
"Worked less than full-time, year-round in the past 12 months","83","35","42.2%","259","61","23.6%"
"Did not work","275","197","71.6%","443","217","49.0%"
