"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","2,488","1,229","49.4%","3,624","781","21.6%"
"    AGE","","","","","",""
"        Under 18 years","491","372","75.8%","346","164","47.4%"
"            Under 5 years","164","107","65.2%","152","38","25.0%"
"            5 to 17 years","327","265","81.0%","194","126","64.9%"
"            Related children of householder under 18 years","491","372","75.8%","346","164","47.4%"
"        18 to 64 years","1,710","753","44.0%","2,951","528","17.9%"
"            18 to 34 years","928","405","43.6%","1,319","308","23.4%"
"            35 to 64 years","782","348","44.5%","1,632","220","13.5%"
"        60 years and over","457","172","37.6%","479","165","34.4%"
"        65 years and over","287","104","36.2%","327","89","27.2%"
"    SEX","","","","","",""
"        Male","1,038","547","52.7%","1,860","279","15.0%"
"        Female","1,450","682","47.0%","1,764","502","28.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","338","47","13.9%","1,594","63","4.0%"
"        Black or African American alone","2,128","1,173","55.1%","1,488","628","42.2%"
"        American Indian and Alaska Native alone","9","9","100.0%","0","0","-"
"        Asian alone","0","0","-","198","0","0.0%"
"        Native Hawaiian and Other Pacific Islander alone","0","0","-","36","0","0.0%"
"        Some other race alone","13","0","0.0%","60","0","0.0%"
"        Two or more races","0","0","-","248","90","36.3%"
"        Hispanic or Latino origin (of any race)","121","9","7.4%","269","0","0.0%"
"        White alone, not Hispanic or Latino","290","38","13.1%","1,515","63","4.2%"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","1,678","718","42.8%","3,062","480","15.7%"
"            Less than high school graduate","443","315","71.1%","254","136","53.5%"
"            High school graduate (includes equivalency)","468","228","48.7%","198","54","27.3%"
"            Some college, associate's degree","319","115","36.1%","376","94","25.0%"
"            Bachelor's degree or higher","448","60","13.4%","2,234","196","8.8%"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","1,025","312","30.4%","2,521","218","8.6%"
"            Employed","817","148","18.1%","2,308","162","7.0%"
"                Male","324","37","11.4%","1,269","105","8.3%"
"                Female","493","111","22.5%","1,039","57","5.5%"
"            Unemployed","208","164","78.8%","213","56","26.3%"
"                Male","140","103","73.6%","61","6","9.8%"
"                Female","68","61","89.7%","152","50","32.9%"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","2,035","885","43.5%","3,311","650","19.6%"
"            Worked full-time, year-round in the past 12 months","605","16","2.6%","1,988","64","3.2%"
"            Worked part-time or part-year in the past 12 months","299","196","65.6%","533","112","21.0%"
"            Did not work","1,131","673","59.5%","790","474","60.0%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","558","(X)","(X)","310","(X)","(X)"
"        125 percent of poverty level","1,426","(X)","(X)","781","(X)","(X)"
"        150 percent of poverty level","1,546","(X)","(X)","813","(X)","(X)"
"        185 percent of poverty level","1,640","(X)","(X)","865","(X)","(X)"
"        200 percent of poverty level","1,717","(X)","(X)","899","(X)","(X)"
"        300 percent of poverty level","1,925","(X)","(X)","1,135","(X)","(X)"
"        400 percent of poverty level","2,021","(X)","(X)","1,416","(X)","(X)"
"        500 percent of poverty level","2,125","(X)","(X)","1,716","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","691","272","39.4%","1,906","460","24.1%"
"    Male","301","136","45.2%","1,047","227","21.7%"
"    Female","390","136","34.9%","859","233","27.1%"
"    15 years","0","0","-","0","0","-"
"    16 to 17 years","0","0","-","0","0","-"
"    18 to 24 years","20","9","45.0%","96","44","45.8%"
"    25 to 34 years","218","39","17.9%","702","171","24.4%"
"    35 to 44 years","69","26","37.7%","318","0","0.0%"
"    45 to 54 years","87","48","55.2%","219","37","16.9%"
"    55 to 64 years","158","75","47.5%","315","119","37.8%"
"    65 to 74 years","67","41","61.2%","137","34","24.8%"
"    75 years and over","72","34","47.2%","119","55","46.2%"
"    Mean income deficit for unrelated individuals (dollars)","6,425","(X)","(X)","6,653","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","289","9","3.1%","1,189","34","2.9%"
"    Worked less than full-time, year-round in the past 12 months","113","68","60.2%","269","112","41.6%"
"    Did not work","289","195","67.5%","448","314","70.1%"
