"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Below poverty level!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","2,569","898","35.0%","3,730","903","24.2%"
"    AGE","","","","","",""
"        Under 18 years","448","278","62.1%","388","234","60.3%"
"            Under 5 years","190","72","37.9%","146","59","40.4%"
"            5 to 17 years","258","206","79.8%","242","175","72.3%"
"            Related children of householder under 18 years","448","278","62.1%","388","234","60.3%"
"        18 to 64 years","1,791","513","28.6%","3,034","569","18.8%"
"            18 to 34 years","848","252","29.7%","1,283","295","23.0%"
"            35 to 64 years","943","261","27.7%","1,751","274","15.6%"
"        60 years and over","508","143","28.1%","439","177","40.3%"
"        65 years and over","330","107","32.4%","308","100","32.5%"
"    SEX","","","","","",""
"        Male","1,161","352","30.3%","1,828","306","16.7%"
"        Female","1,408","546","38.8%","1,902","597","31.4%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","548","47","8.6%","1,505","50","3.3%"
"        Black or African American alone","1,950","842","43.2%","1,782","757","42.5%"
"        American Indian and Alaska Native alone","0","0","-","0","0","-"
"        Asian alone","30","0","0.0%","189","0","0.0%"
"        Native Hawaiian and Other Pacific Islander alone","0","0","-","37","0","0.0%"
"        Some other race alone","23","9","39.1%","49","0","0.0%"
"        Two or more races","18","0","0.0%","168","96","57.1%"
"        Hispanic or Latino origin (of any race)","109","21","19.3%","235","0","0.0%"
"        White alone, not Hispanic or Latino","502","35","7.0%","1,409","50","3.5%"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","1,889","570","30.2%","3,101","494","15.9%"
"            Less than high school graduate","448","290","64.7%","246","153","62.2%"
"            High school graduate (includes equivalency)","469","166","35.4%","260","40","15.4%"
"            Some college, associate's degree","296","77","26.0%","442","105","23.8%"
"            Bachelor's degree or higher","676","37","5.5%","2,153","196","9.1%"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","1,311","258","19.7%","2,628","230","8.8%"
"            Employed","1,096","125","11.4%","2,402","182","7.6%"
"                Male","541","49","9.1%","1,301","121","9.3%"
"                Female","555","76","13.7%","1,101","61","5.5%"
"            Unemployed","215","133","61.9%","226","48","21.2%"
"                Male","122","63","51.6%","54","0","0.0%"
"                Female","93","70","75.3%","172","48","27.9%"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","2,152","641","29.8%","3,410","719","21.1%"
"            Worked full-time, year-round in the past 12 months","808","19","2.4%","2,122","86","4.1%"
"            Worked part-time or part-year in the past 12 months","384","175","45.6%","502","104","20.7%"
"            Did not work","960","447","46.6%","786","529","67.3%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","513","(X)","(X)","306","(X)","(X)"
"        125 percent of poverty level","1,108","(X)","(X)","903","(X)","(X)"
"        150 percent of poverty level","1,145","(X)","(X)","999","(X)","(X)"
"        185 percent of poverty level","1,228","(X)","(X)","1,056","(X)","(X)"
"        200 percent of poverty level","1,334","(X)","(X)","1,157","(X)","(X)"
"        300 percent of poverty level","1,655","(X)","(X)","1,371","(X)","(X)"
"        400 percent of poverty level","1,854","(X)","(X)","1,685","(X)","(X)"
"        500 percent of poverty level","1,992","(X)","(X)","1,958","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","922","250","27.1%","2,081","440","21.1%"
"    Male","441","100","22.7%","1,136","231","20.3%"
"    Female","481","150","31.2%","945","209","22.1%"
"    15 years","0","0","-","0","0","-"
"    16 to 17 years","0","0","-","0","0","-"
"    18 to 24 years","31","10","32.3%","73","33","45.2%"
"    25 to 34 years","279","40","14.3%","695","120","17.3%"
"    35 to 44 years","185","56","30.3%","536","20","3.7%"
"    45 to 54 years","102","21","20.6%","223","48","21.5%"
"    55 to 64 years","150","28","18.7%","279","119","42.7%"
"    65 to 74 years","76","41","53.9%","146","37","25.3%"
"    75 years and over","99","54","54.5%","129","63","48.8%"
"    Mean income deficit for unrelated individuals (dollars)","6,122","(X)","(X)","5,735","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","466","12","2.6%","1,318","44","3.3%"
"    Worked less than full-time, year-round in the past 12 months","195","94","48.2%","331","104","31.4%"
"    Did not work","261","144","55.2%","432","292","67.6%"
