"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error"
"Population 16 years and over","2,003","±231","57.8%","±7.5","49.1%","±7.9","13.4%","±7.5","2,311","±275","85.4%","±6.5","81.5%","±7.7","4.6%","±5.7","1,747","±297","77.8%","±9.4","76.6%","±9.5","1.5%","±2.4","3,700","±534","81.6%","±5.8","78.7%","±6.4","3.5%","±2.7","2,320","±495","84.1%","±7.1","80.5%","±8.4","0.5%","±0.8","1,479","±183","74.9%","±6.9","67.0%","±8.5","7.4%","±7.2"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","115","±70","41.7%","±30.4","11.3%","±18.3","72.9%","±44.5","1","±3","0.0%","±100.0","0.0%","±100.0","-","**","34","±47","100.0%","±59.8","100.0%","±59.8","0.0%","±59.8","91","±58","49.5%","±39.9","27.5%","±32.6","44.4%","±55.2","0","±14","-","**","-","**","-","**","0","±14","-","**","-","**","-","**"
"        20 to 24 years","104","±53","84.6%","±23.3","49.0%","±35.6","42.0%","±39.7","150","±112","88.7%","±16.5","88.7%","±16.5","0.0%","±28.0","94","±35","64.9%","±26.6","64.9%","±26.6","0.0%","±44.7","232","±137","82.8%","±25.2","67.7%","±28.6","18.2%","±22.7","35","±50","100.0%","±59.0","100.0%","±59.0","0.0%","±59.0","52","±38","100.0%","±48.4","59.6%","±49.4","0.0%","±62.7"
"        25 to 29 years","281","±95","78.3%","±17.3","70.5%","±17.1","5.3%","±8.9","545","±190","95.4%","±4.6","82.6%","±17.6","13.5%","±19.7","430","±254","96.7%","±7.7","96.7%","±7.7","0.0%","±10.2","556","±215","94.2%","±7.4","87.9%","±10.6","6.7%","±9.3","571","±257","93.9%","±9.9","84.8%","±17.1","0.0%","±8.9","91","±27","100.0%","±36.4","91.2%","±19.5","0.0%","±38.3"
"        30 to 34 years","333","±182","95.8%","±7.3","88.9%","±10.5","3.6%","±6.0","504","±190","89.5%","±11.0","89.5%","±11.0","0.0%","±9.5","137","±95","89.8%","±22.8","89.8%","±22.8","0.0%","±29.7","721","±229","92.4%","±9.4","92.4%","±9.4","0.0%","±6.5","335","±221","100.0%","±12.5","100.0%","±12.5","0.0%","±12.5","180","±138","100.0%","±21.9","100.0%","±21.9","0.0%","±21.9"
"        35 to 44 years","393","±148","67.7%","±18.8","57.3%","±19.1","15.4%","±18.0","527","±225","96.8%","±5.3","93.0%","±7.9","3.9%","±6.2","342","±110","94.4%","±7.2","94.4%","±7.2","0.0%","±13.0","1,020","±499","90.6%","±8.2","90.6%","±8.2","0.0%","±4.7","274","±164","96.7%","±6.9","88.3%","±16.1","0.0%","±16.9","218","±109","100.0%","±18.5","67.0%","±27.2","30.1%","±27.7"
"        45 to 54 years","198","±91","57.1%","±23.0","57.1%","±23.0","0.0%","±31.6","141","±82","99.3%","±2.6","99.3%","±2.6","0.0%","±26.9","123","±80","89.4%","±17.6","72.4%","±25.0","19.1%","±24.0","406","±166","68.0%","±22.8","63.8%","±22.3","6.2%","±9.3","393","±338","100.0%","±10.8","100.0%","±10.8","0.0%","±10.8","289","±101","100.0%","±14.4","100.0%","±14.4","0.0%","±14.4"
"        55 to 59 years","122","±77","33.6%","±31.0","33.6%","±31.0","0.0%","±54.5","134","±98","100.0%","±27.9","100.0%","±27.9","0.0%","±27.9","113","±84","97.3%","±5.2","97.3%","±5.2","0.0%","±32.2","210","±110","57.6%","±25.3","57.6%","±25.3","0.0%","±30.1","261","±128","76.2%","±24.2","72.8%","±24.2","4.5%","±7.7","126","±80","88.9%","±17.2","88.9%","±17.2","0.0%","±31.8"
"        60 to 64 years","100","±61","39.0%","±33.7","22.0%","±28.6","43.6%","±55.0","74","±61","77.0%","±36.6","77.0%","±36.6","0.0%","±46.2","130","±72","73.8%","±32.5","73.8%","±32.5","0.0%","±35.3","177","±110","100.0%","±22.2","100.0%","±22.2","0.0%","±22.2","190","±111","78.9%","±25.6","78.9%","±25.6","0.0%","±25.5","92","±68","51.1%","±37.1","51.1%","±37.1","0.0%","±50.9"
