"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 102.01, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 102.01, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 102.02, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 102.02, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 110.01, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 110.01, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 110.02, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 110.02, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error"
"Population 16 years and over","1,943","±256","59.4%","±7.9","52.9%","±7.8","10.4%","±6.8","2,158","±326","81.1%","±8.9","77.3%","±9.8","4.7%","±5.5","1,445","±278","75.0%","±10.2","73.6%","±10.2","0.0%","±3.7","3,577","±632","79.4%","±7.3","78.3%","±7.3","1.4%","±1.3","2,310","±473","78.4%","±9.3","78.0%","±9.2","0.6%","±0.9","1,760","±254","70.3%","±10.7","61.0%","±11.4","10.8%","±9.6"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","78","±51","30.8%","±30.9","12.8%","±22.1","58.3%","±58.3","2","±7","0.0%","±100.0","0.0%","±100.0","-","**","15","±23","100.0%","±84.9","100.0%","±84.9","0.0%","±84.9","67","±85","64.2%","±64.2","64.2%","±64.2","0.0%","±50.2","0","±13","-","**","-","**","-","**","0","±13","-","**","-","**","-","**"
"        20 to 24 years","75","±53","100.0%","±38.0","94.7%","±7.9","5.3%","±7.9","180","±112","93.3%","±8.3","93.3%","±8.3","0.0%","±21.0","100","±44","74.0%","±23.8","74.0%","±23.8","0.0%","±38.2","159","±129","67.3%","±45.5","67.3%","±45.5","0.0%","±30.2","29","±45","100.0%","±61.1","100.0%","±61.1","0.0%","±61.1","61","±45","100.0%","±42.1","62.3%","±48.7","0.0%","±53.4"
"        25 to 29 years","312","±120","76.0%","±20.0","69.9%","±19.6","8.0%","±9.9","436","±125","94.5%","±5.1","80.7%","±19.2","14.6%","±20.2","361","±209","97.8%","±4.3","97.8%","±4.3","0.0%","±10.7","513","±190","87.5%","±15.6","87.5%","±15.6","0.0%","±8.5","533","±254","90.4%","±17.7","90.4%","±17.7","0.0%","±8.0","49","±51","100.0%","±47.0","77.6%","±52.2","0.0%","±53.4"
"        30 to 34 years","355","±180","90.4%","±10.0","85.1%","±13.0","3.2%","±5.7","417","±169","86.1%","±12.8","86.1%","±12.8","0.0%","±10.5","81","±54","100.0%","±36.4","100.0%","±36.4","0.0%","±36.4","789","±254","84.9%","±17.9","84.9%","±17.9","0.0%","±5.8","375","±244","100.0%","±10.1","100.0%","±10.1","0.0%","±10.1","249","±167","89.2%","±17.5","89.2%","±17.5","0.0%","±16.4"
"        35 to 44 years","339","±139","58.7%","±23.5","45.4%","±21.2","22.6%","±26.7","511","±186","96.3%","±6.0","92.0%","±8.8","4.5%","±7.1","226","±105","92.5%","±8.2","83.2%","±9.7","0.0%","±19.0","932","±431","90.3%","±9.0","90.3%","±9.0","0.0%","±4.6","212","±136","92.0%","±12.8","92.0%","±12.8","0.0%","±18.4","309","±183","100.0%","±12.1","64.1%","±28.2","35.9%","±28.2"
"        45 to 54 years","239","±81","66.1%","±21.6","66.1%","±21.6","0.0%","±22.1","106","±58","100.0%","±30.4","100.0%","±30.4","0.0%","±30.4","98","±59","83.7%","±22.6","83.7%","±22.6","0.0%","±36.1","527","±220","78.6%","±17.1","73.6%","±16.7","6.3%","±6.7","319","±265","100.0%","±11.8","100.0%","±11.8","0.0%","±11.8","273","±138","100.0%","±13.6","100.0%","±13.6","0.0%","±13.6"
"        55 to 59 years","114","±58","39.5%","±26.7","39.5%","±26.7","0.0%","±49.0","103","±78","100.0%","±31.1","100.0%","±31.1","0.0%","±31.1","67","±55","92.5%","±16.6","92.5%","±16.6","0.0%","±41.8","165","±81","69.1%","±27.4","69.1%","±27.4","0.0%","±28.8","299","±162","59.9%","±31.6","56.5%","±32.1","5.6%","±10.4","142","±92","89.4%","±17.4","89.4%","±17.4","0.0%","±26.5"
"        60 to 64 years","120","±74","59.2%","±30.5","36.7%","±23.8","38.0%","±39.6","103","±75","82.5%","±29.3","82.5%","±29.3","0.0%","±35.4","80","±46","100.0%","±36.7","100.0%","±36.7","0.0%","±36.7","133","±84","91.0%","±15.0","80.5%","±22.2","11.6%","±18.5","191","±103","73.3%","±24.0","73.3%","±24.0","0.0%","±24.5","118","±91","60.2%","±39.6","60.2%","±39.6","0.0%","±39.0"
