"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent owner-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Renter-occupied housing units!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,298","±87","1,298","±87","221","±77","221","±77","1,077","±97","1,077","±97","2,290","±155","2,290","±155","821","±141","821","±141","1,469","±155","1,469","±155"
"    HOUSEHOLD SIZE","","","","","","","","","","","","","","","","","","","","","","","",""
"        1-person household","625","±130","48.2%","±9.4","167","±74","75.6%","±16.4","458","±118","42.5%","±10.1","1,386","±219","60.5%","±7.9","494","±139","60.2%","±12.1","892","±203","60.7%","±10.5"
"        2-person household","474","±116","36.5%","±8.4","29","±28","13.1%","±13.2","445","±111","41.3%","±9.5","744","±170","32.5%","±7.4","269","±107","32.8%","±12.1","475","±164","32.3%","±11.4"
"        3-person household","97","±61","7.5%","±4.7","25","±27","11.3%","±11.6","72","±51","6.7%","±4.8","84","±77","3.7%","±3.4","24","±33","2.9%","±4.1","60","±71","4.1%","±4.8"
"        4-or-more-person household","102","±54","7.9%","±4.2","0","±12","0.0%","±14.6","102","±54","9.5%","±4.9","76","±35","3.3%","±1.6","34","±54","4.1%","±6.6","42","±40","2.9%","±2.8"
"    OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","","","","","","","",""
"        1.00 or less occupants per room","1,298","±87","100.0%","±2.7","221","±77","100.0%","±14.6","1,077","±97","100.0%","±3.2","2,223","±174","97.1%","±2.5","821","±141","100.0%","±4.2","1,402","±171","95.4%","±3.9"
"        1.01 to 1.50 occupants per room","0","±12","0.0%","±2.7","0","±12","0.0%","±14.6","0","±12","0.0%","±3.2","42","±40","1.8%","±1.8","0","±12","0.0%","±4.2","42","±40","2.9%","±2.8"
"        1.51 or more occupants per room","0","±12","0.0%","±2.7","0","±12","0.0%","±14.6","0","±12","0.0%","±3.2","25","±30","1.1%","±1.3","0","±12","0.0%","±4.2","25","±30","1.7%","±2.1"
"    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","",""
