"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Labor Force Participation Rate!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Employment/Population Ratio!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Unemployment rate!!Margin of Error"
"Population 16 years and over","2,152","±258","62.0%","±7.6","50.9%","±8.5","16.4%","±8.0","3,410","±285","78.0%","±7.5","70.4%","±6.8","8.6%","±4.2"
"    AGE","","","","","","","","","","","","","","","",""
"        16 to 19 years","130","±94","12.3%","±18.8","2.3%","±5.9","81.3%","±47.7","68","±36","0.0%","±37.3","0.0%","±37.3","-","**"
"        20 to 24 years","133","±71","85.0%","±22.1","81.2%","±22.7","4.4%","±7.4","241","±154","41.1%","±32.2","37.8%","±30.1","8.1%","±12.4"
"        25 to 29 years","333","±129","91.3%","±11.4","69.4%","±18.6","20.3%","±18.8","477","±211","100.0%","±7.1","89.5%","±12.8","8.0%","±11.3"
"        30 to 34 years","283","±107","75.3%","±18.5","59.4%","±19.9","17.6%","±16.3","565","±167","100.0%","±6.0","93.5%","±7.7","6.5%","±7.7"
"        35 to 44 years","365","±178","80.5%","±14.9","58.1%","±23.4","27.9%","±26.1","1,013","±335","94.8%","±6.3","83.4%","±12.7","10.2%","±10.3"
"        45 to 54 years","309","±113","74.4%","±13.9","68.0%","±15.5","8.7%","±12.8","429","±162","66.2%","±22.8","59.0%","±22.0","10.9%","±11.8"
"        55 to 59 years","91","±62","85.7%","±24.2","85.7%","±24.2","0.0%","±34.3","178","±99","76.4%","±26.1","76.4%","±26.1","0.0%","±22.4"
"        60 to 64 years","178","±69","27.0%","±20.3","27.0%","±20.3","0.0%","±44.4","131","±74","52.7%","±29.2","39.7%","±28.9","24.6%","±35.9"
"        65 to 74 years","184","±78","14.7%","±12.6","14.7%","±12.6","0.0%","±59.2","161","±87","43.5%","±26.2","43.5%","±26.2","0.0%","±36.7"
"        75 years and over","146","±61","7.5%","±11.7","7.5%","±11.7","0.0%","±92.8","147","±123","0.0%","±21.0","0.0%","±21.0","-","**"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","",""
"        White alone","501","±153","94.0%","±6.2","86.8%","±8.7","2.9%","±3.6","1,478","±239","90.9%","±6.9","83.6%","±9.0","5.8%","±5.6"
