"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate"
"Households","1,147","(X)","561","48.9%","586","51.1%","2,258","(X)","137","6.1%","2,121","93.9%"
"    With one or more people in the household 60 years and over","396","34.5%","220","39.2%","176","30.0%","440","19.5%","0","0.0%","440","20.7%"
"    No people in the household 60 years and over","751","65.5%","341","60.8%","410","70.0%","1,818","80.5%","137","100.0%","1,681","79.3%"
"    HOUSEHOLD TYPE","","","","","","","","","","","",""
"    Married-couple family","121","10.5%","20","3.6%","101","17.2%","543","24.0%","0","0.0%","543","25.6%"
"    Other family:","470","41.0%","312","55.6%","158","27.0%","112","5.0%","46","33.6%","66","3.1%"
"        Male householder, no wife present","34","3.0%","34","6.1%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"        Female householder, no husband present","436","38.0%","278","49.6%","158","27.0%","112","5.0%","46","33.6%","66","3.1%"
"    Nonfamily households","556","48.5%","229","40.8%","327","55.8%","1,603","71.0%","91","66.4%","1,512","71.3%"
"    With children under 18 years","241","21.0%","158","28.2%","83","14.2%","147","6.5%","30","21.9%","117","5.5%"
"        Married-couple family","20","1.7%","7","1.2%","13","2.2%","103","4.6%","0","0.0%","103","4.9%"
"        Other family:","221","19.3%","151","26.9%","70","11.9%","44","1.9%","30","21.9%","14","0.7%"
"            Male householder, no wife present","16","1.4%","16","2.9%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"            Female householder, no husband present","205","17.9%","135","24.1%","70","11.9%","44","1.9%","30","21.9%","14","0.7%"
"        Nonfamily households","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"    No children under 18 years","906","79.0%","403","71.8%","503","85.8%","2,111","93.5%","107","78.1%","2,004","94.5%"
"        Married-couple family","101","8.8%","13","2.3%","88","15.0%","440","19.5%","0","0.0%","440","20.7%"
"        Other family:","249","21.7%","161","28.7%","88","15.0%","68","3.0%","16","11.7%","52","2.5%"
"            Male householder, no wife present","18","1.6%","18","3.2%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"            Female householder, no husband present","231","20.1%","143","25.5%","83","15.0%","68","3.0%","16","11.7%","117","2.5%"
"        Nonfamily households","556","48.5%","229","40.8%","327","55.8%","1,603","71.0%","91","66.4%","1,512","71.3%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"        Below poverty level","529","46.1%","428","76.3%","101","17.2%","418","18.5%","105","76.6%","313","14.8%"
"        At or above  poverty level","618","53.9%","133","23.7%","485","82.8%","1,840","81.5%","32","23.4%","1,808","85.2%"
"    DISABILITY STATUS","","","","","","","","","","","",""
"        With one or more people with a disability","452","39.4%","295","52.6%","157","26.8%","460","20.4%","76","55.5%","384","18.1%"
"        With no persons with a disability","695","60.6%","266","47.4%","429","73.2%","1,798","79.6%","61","44.5%","1,737","81.9%"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"        White alone","196","17.1%","29","5.2%","167","28.5%","1,148","50.8%","0","0.0%","1,148","54.1%"
"        Black or African American alone","942","82.1%","532","94.8%","410","70.0%","870","38.5%","137","100.0%","733","34.6%"
"        American Indian and Alaska Native alone","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"        Asian alone","0","0.0%","0","0.0%","0","0.0%","67","3.0%","0","0.0%","67","3.2%"
"        Native Hawaiian and Other Pacific Islander alone","0","0.0%","0","0.0%","0","0.0%","36","1.6%","0","0.0%","36","1.7%"
"        Some other race alone","9","0.8%","0","0.0%","9","1.5%","12","0.5%","0","0.0%","12","0.6%"
"        Two or more races","0","0.0%","0","0.0%","0","0.0%","125","5.5%","0","0.0%","125","5.9%"
"        Hispanic or Latino origin (of any race)","97","8.5%","0","0.0%","97","16.6%","146","6.5%","0","0.0%","146","6.9%"
"        White alone, not Hispanic or Latino","160","13.9%","29","5.2%","131","22.4%","1,069","47.3%","0","0.0%","1,069","50.4%"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"        Median income (dollars)","19,459","(X)","9,276","(X)","41,885","(X)","83,750","(X)","-","(X)","86,651","(X)"
"WORK STATUS","","","","","","","","","","","",""
"    Families","591","(X)","332","(X)","259","(X)","655","(X)","46","(X)","609","(X)"
"        No workers in past 12 months","274","46.4%","197","59.3%","77","29.7%","76","11.6%","16","34.8%","60","9.9%"
"        1 worker in past 12 months","193","32.7%","105","31.6%","88","34.0%","130","19.8%","30","65.2%","100","16.4%"
"        2 or more workers in past 12 months","124","21.0%","30","9.0%","94","36.3%","449","68.5%","0","0.0%","449","73.7%"
