"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 5, Census Tract 105, District of Columbia, District of Columbia!!Estimate"
"Total:","928","603","0","1,957","906","0","459"
"    Income in the past 12 months below poverty level:","246","306","0","151","356","0","71"
"        With a disability:","82","126","0","63","54","0","19"
"            In labor force:","13","29","0","0","35","0","0"
"                In Armed Forces","0","0","0","0","0","0","0"
"                Civilian:","13","29","0","0","35","0","0"
"                    Employed","13","18","0","0","0","0","0"
"                    Unemployed","0","11","0","0","35","0","0"
"            Not in labor force","69","97","0","63","19","0","19"
"        No disability:","164","180","0","88","302","0","52"
"            In labor force:","112","122","0","88","66","0","0"
"                In Armed Forces","0","0","0","0","0","0","0"
"                Civilian:","112","122","0","88","66","0","0"
"                    Employed","59","116","0","88","66","0","0"
"                    Unemployed","53","6","0","0","0","0","0"
"            Not in labor force","52","58","0","0","236","0","52"
"    Income in the past 12 months at or above poverty level:","682","297","0","1,806","550","0","388"
"        With a disability:","95","68","0","27","63","0","33"
"            In labor force:","19","35","0","27","63","0","33"
"                In Armed Forces","0","0","0","0","0","0","0"
"                Civilian:","19","35","0","27","63","0","33"
"                    Employed","19","35","0","27","63","0","33"
"                    Unemployed","0","0","0","0","0","0","0"
"            Not in labor force","76","33","0","0","0","0","0"
"        No disability:","587","229","0","1,779","487","0","355"
"            In labor force:","556","200","0","1,749","487","0","332"
"                In Armed Forces","23","0","0","0","0","0","0"
"                Civilian:","533","200","0","1,749","487","0","332"
"                    Employed","486","200","0","1,732","487","0","297"
"                    Unemployed","47","0","0","17","0","0","35"
"            Not in labor force","31","29","0","30","0","0","23"
