"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 5, Census Tract 105, District of Columbia, District of Columbia!!Estimate"
"Total:","973","581","0","1,934","988","0","296"
"    Income in the past 12 months below poverty level:","238","257","0","167","451","0","15"
"        With a disability:","56","93","0","68","25","0","15"
"            In labor force:","8","26","0","0","0","0","0"
"                In Armed Forces","0","0","0","0","0","0","0"
"                Civilian:","8","26","0","0","0","0","0"
"                    Employed","8","16","0","0","0","0","0"
"                    Unemployed","0","10","0","0","0","0","0"
"            Not in labor force","48","67","0","68","25","0","15"
"        No disability:","182","164","0","99","426","0","0"
"            In labor force:","104","83","0","87","128","0","0"
"                In Armed Forces","0","0","0","0","0","0","0"
"                Civilian:","104","83","0","87","128","0","0"
"                    Employed","84","79","0","87","114","0","0"
"                    Unemployed","20","4","0","0","14","0","0"
"            Not in labor force","78","81","0","12","298","0","0"
"    Income in the past 12 months at or above poverty level:","735","324","0","1,767","537","0","281"
"        With a disability:","121","37","0","106","65","0","60"
"            In labor force:","18","10","0","106","65","0","60"
"                In Armed Forces","0","0","0","0","0","0","0"
"                Civilian:","18","10","0","106","65","0","60"
"                    Employed","18","10","0","106","65","0","60"
"                    Unemployed","0","0","0","0","0","0","0"
"            Not in labor force","103","27","0","0","0","0","0"
"        No disability:","614","287","0","1,661","472","0","221"
"            In labor force:","598","259","0","1,612","472","0","187"
"                In Armed Forces","9","0","0","0","0","0","0"
"                Civilian:","589","259","0","1,612","472","0","187"
"                    Employed","527","250","0","1,586","472","0","187"
"                    Unemployed","62","9","0","26","0","0","0"
"            Not in labor force","16","28","0","49","0","0","34"
