"Label (Grouping)","Block Group 1, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 64, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 102, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 105, District of Columbia, District of Columbia!!Estimate","Block Group 1, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 2, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 3, Census Tract 110, District of Columbia, District of Columbia!!Estimate","Block Group 4, Census Tract 110, District of Columbia, District of Columbia!!Estimate"
"Total:","1,053","547","730","1,232","1,193","1,758","366","350","618","1,084"
"    Income in the past 12 months below poverty level:","514","210","95","42","321","207","64","18","39","108"
"        With a disability:","247","53","0","0","56","45","0","0","20","59"
"            In labor force:","0","29","0","0","0","0","0","0","20","0"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","0","29","0","0","0","0","0","0","20","0"
"                    Employed","0","19","0","0","0","0","0","0","20","0"
"                    Unemployed","0","10","0","0","0","0","0","0","0","0"
"            Not in labor force","247","24","0","0","56","45","0","0","0","59"
"        No disability:","267","157","95","42","265","162","64","18","19","49"
"            In labor force:","159","124","49","12","94","124","30","18","0","49"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","159","124","49","12","94","124","30","18","0","49"
"                    Employed","57","72","49","12","78","84","30","8","0","31"
"                    Unemployed","102","52","0","0","16","40","0","10","0","18"
"            Not in labor force","108","33","46","30","171","38","34","0","19","0"
"    Income in the past 12 months at or above poverty level:","539","337","635","1,190","872","1,551","302","332","579","976"
"        With a disability:","75","38","18","74","104","74","17","23","24","115"
"            In labor force:","0","16","7","57","51","74","0","17","24","97"
"                In Armed Forces","0","0","0","0","0","0","0","0","0","0"
"                Civilian:","0","16","7","57","51","74","0","17","24","97"
"                    Employed","0","16","7","57","51","74","0","17","24","97"
"                    Unemployed","0","0","0","0","0","0","0","0","0","0"
"            Not in labor force","75","22","11","17","53","0","17","6","0","18"
"        No disability:","464","299","617","1,116","768","1,477","285","309","555","861"
"            In labor force:","392","289","558","1,015","713","1,428","285","281","515","808"
"                In Armed Forces","0","16","19","20","0","27","0","0","0","0"
"                Civilian:","392","273","539","995","713","1,401","285","281","515","808"
"                    Employed","355","266","520","973","681","1,276","285","281","481","771"
"                    Unemployed","37","7","19","22","32","125","0","0","34","37"
"            Not in labor force","72","10","59","101","55","49","0","28","40","53"
